scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags
Prize Schemes to the Students (State Level Prizes),psslp,"The ""Prize Schemes to the Students (State Level Prizes)"" launched by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, aimed at supporting students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The prizes are distributed to students from both Government/Government Aided and Private Schools who have studied Tamil as their first language. Awards are given in various categories, with no income limit.","First Prize: ₹50,000/- (boys from BC), ₹25,000/- (girls from BC) Second Prize: ₹30,000/- (boys from BC), ₹20,000/- (girls from BC) Third Prize: ₹20,000/- (boys from BC), ₹15,000/- (girls from BC)","The beneficiary should be a student. The beneficiary should be a resident of Tamil Nadu. The beneficiary should belong to the Backward Classes (BC)/ Most Backward Classes (MBC)/ Denotified Communities (DNC). The beneficiary should be studying in a Government/ Government Aided/ Private School. The beneficiary must have studied Tamil as the first language. Note: If more than one student secures the same marks, awards are granted to all students. ﻿","Step-1: The interested applicant should collect the application form from their concerned educational institution. Step-2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the institution. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate (BC/MBC/DNC). Admission letter or proof of enrollment. Proof of language studied (Tamil as first language). Any other documents (if required).,State,Education & Learning,,"Minority Welfare, Scholarship, Education, Financial Assistance"
Production Of Certified Seeds,pocs,"The scheme “Production Of Certified Seeds” by the Agriculture-Farmers Welfare Department, Tamil Nadu, aims to support farmers through offering subsidies to farmers for producing certified seeds of Pulses. It provides financial assistance to eligible farmers to enhance seed quality and increase production.","Financial Assistance: A subsidy of ₹,1000/- per quintal. ﻿",The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu. The beneficiary should raise seed farms with Pulses crops.,"Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture.","Proof of identity (Aadhar card, Voter ID) Land ownership documents or lease agreement. Certification of seed production. Bank account details. Caste certificate (if applicable). Women farmer group registration documents (if applicable). Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Certified Seeds, Production Of Seeds"
Production of Certified Seeds of Maize,pocsm,"The scheme “Production of Certified Seeds of Maize” by the Agriculture-Farmers Welfare Department, Tamil Nadu, is designed to support maize farmers in specific districts of Tamil Nadu. By offering a subsidy of ₹1,000/- per quintal, the scheme encourages farmers to produce certified maize seeds, ensuring a steady supply of high-quality seeds. ﻿ ﻿","Financial Assistance: ₹,1000/- per quintal. ﻿","The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a maize-growing farmer. The beneficiary should belong to any of the following district of Tamil Nadu: Coimbatore, Dindigul, Erode, Dharmapuri, Krishnagiri, Namakkal, Perambalur, Virudhunagar, Theni, Villupuram, Vellore, Salem, Pudukkottai, Madurai, Sivagangai, Trichy, Tirunelveli and Thoothukudi. ﻿","Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture.","Proof of identity (Aadhar card, Voter ID) Land ownership documents or lease agreement. Certification of seed production. Bank account details. Caste certificate (if applicable). Women farmer group registration documents (if applicable). Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Certified Seeds, Production Of Seeds, Maize"
Production of Foundation Seeds,pofs,"The scheme “Production of Foundation Seeds” by the Agriculture-Farmers Welfare Department, Tamil Nadu, is designed to support farmers in the production of foundation seeds, particularly for pulses. Eligible farmers receive a subsidy. Special benefits are provided for SC/ST farmers (24%) and farm women (20%). ﻿ ﻿","Financial Assistance: ₹1,000/- per quintal.",The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu. The beneficiary should raise seed farms with Pulses crop.,"Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture.","Proof of identity (Aadhar card, Voter ID) Land ownership documents or lease agreement. Certification of seed production. Bank account details. Caste certificate (if applicable). Women farmer group registration documents (if applicable). Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Seed Production, Foundation Seeds"
Production of Foundation and Certified Seeds,pofacs,"The scheme “Production of Foundation and Certified Seeds” by the Agriculture-Farmers Welfare Department, Tamil Nadu, is aimed at encouraging farmers to produce high-quality seeds. Under this initiative, farmers who produce and supply Foundation and Certified Class seeds to the Department of Agriculture are eligible to receive a subsidy.","Financial Assistance: ₹1,000/- per quintal.",The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu. The beneficiary should produce and supply Foundation or Certified seeds to the Department.,"Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture.","Proof of identity (Aadhar card, Voter ID) Land ownership documents or lease agreement. Certification of seed production and supply. Bank account details. Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Certified Seeds, Seed Production, Foundation Seeds"
Promotion of Energy Audit and Conservation of Energy (PEACE): Awareness Programme,peaceap,"""Promotion of Energy Audit and Conservation of Energy (PEACE)"" is a scheme by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu. The scheme comprises four main components: Awareness Programme; Training Programme; Detailed Energy Audit; and Implementation of Energy Audit Recommendations. The ""Awareness Programme"" component of this scheme is introduced to make the MSMEs understand that the energy audit and conserving energy is a critical issue that is of great importance to the financial performance and competitiveness of their enterprise. ﻿ Implementing Agency The programme will be organized by GM, DICs/RJD, Chennai in coordination with MSMEs Associations, Product Associations, Clusters, and other Stakeholders. Wherever possible the awareness programs may be organized for a sector/ cluster.","Objective The program will make the MSMEs understand that the energy audit and conserving energy is a critical issue that is of great importance to the financial performance and competitiveness of their enterprise. ﻿ Schedule The program, designed for one day, will be based on the needs and requirements of MSMEs. The training content will be standardized by the Industries Commissioner and Director of Industries and Commerce in consultation with relevant agencies. ﻿ Resource Persons The Resource Persons are preferably drawn from organizations such as the Petroleum Conservation Research Association (PCRA), India SME Tech Services Ltd (SIDBI), National Productivity Council (NPC), BEE, TERI, etc., which are promoted by Government Departments. Bureau of Energy Efficiency (BEE) accredited Energy Auditors/Managers with rich experience in energy audits, energy management & conservation, and BEE empaneled Energy audit firms/companies, may also be engaged. ﻿ Fund Allocation At least one awareness programme in each district at a cost not exceeding ₹ 1,00,000 per programme.","The target audience includes executives, employees, and workers of MSMEs, as well as cluster members. The ideal size for the awareness program is 40-50 participants, although in industrially backward districts, the batch size may be smaller.","Step 1: Registration Visit the Official Website/Portal of the Micro, Small, and Medium Enterprises Department of the Government of Tamil Nadu. In the top ribbon, click "" Login / Registration "". In the registration form, fill in the mandatory details accurately, Name, Date of Birth, Aadhaar Number, Email ID, and Mobile Number. Create a new password. The password must contain a minimum of 8 characters, 1 Upper Case Letter, 1 Lower Case Letter, and 1 Numeric Field. Fill in the captcha code, and click ""Register"". ﻿ Step 2: Login Visit the Login Page and click ""Login"", and then fill in the credentials received on your registered Email ID and the registered Mobile Number. ﻿ Step 3: Form Filling After successfully logging in, hover over ""Schemes"" in the top ribbon, and then click on the concerned scheme from the dropdown. On the next page, hover over ""Apply Online"" in the top ribbon, and then click on ""New Application"" from the dropdown. Fill in all the mandatory fields of the Application Form . Carefully review all the information provided, acknowledge and agree to the terms and conditions, declaration, and privacy policy, and then click ""Proceed"". Note down the reference number appearing on the screen and then click ""Close"". ﻿ Step 4: Upload Documents Now, hover over ""Schemes"" in the top ribbon, and then click ""Upload Documents"" from the dropdown. On the next page, provide the Application ID and click ""Submit"". On the next page, upload all the mandatory documents in the specified format and size. After uploading the documents, click ""View"" to verify the documents uploaded for correctness. ﻿ Step 5: Submission Fill in all the checkboxes appearing at the bottom of the screen and then click ""Submit Application"". The message regarding the submission of the online application to GM/DIC / RJD will be received on your mobile phone. ﻿ (Optional) Step 6: Track Application Status You can check the status of your application here . The portal may provide updates via email or SMS regarding your application status.","Copy of Udyog Aadhaar Memorandum / Copy of Udyam Certificate. Certificate of Registration under Indian Partnership Act / LLP / Societies Registration Act / Certificate of Incorporation [Memorandum of Association & Article of Association] under Company Act. Proof for Connected Load i.e., EB Meter Card/Online Statement. If Alternate Source of Energy [other than Electricity] Used, Proof for the Usage. Documents for Engagement of Energy Auditor/Letter of Acceptance from Energy Auditor. If the Energy Auditor is Employed in a Firm/Co., or Partner or Director of a Firm/Co., Then Proof for the Same. Copy of Accreditation of Energy Auditor by Bureau of Energy Efficiency [BEE]. Self-Certified Statement on Expenditure Incurred for Energy Audit with Copy of the Bills/Vouchers and Receipt, etc. Copy of the Detailed Energy Audit Report. *The file type should be PDF (.pdf). The file size should be less than 200 kb.",State,Business & Entrepreneurship,,"Awareness, Programme, MSME, Energy, Audit, Business"
Promotion of Energy Audit and Conservation of Energy (PEACE): Detailed Energy Audit,peacedea,"""Promotion of Energy Audit and Conservation of Energy (PEACE)"" is a scheme by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu. The scheme comprises four main components: Awareness Programme; Training Programme; Detailed Energy Audit; and Implementation of Energy Audit Recommendations. The ""Detailed Energy Audit"" component of this scheme is introduced to identify the major sources of energy in use, identify the lapses in energy usage, identify areas to improve energy usage and determine the level of consumption of the energy sources. ﻿ Methodology Plant Survey Discussion With the Plant Personnel. Analysis of Past Performance Data. Measurements of Required Electrical Parameters. Energy Performance Assessment for Significant Electrical and Themal Equipment. Comparison With Available Perforlnance Guarantees/ Manufacturer Design Data. Identification of Energy Conservation Measures. Discussion of the Findings and Recommendations With Plant Personnel. Detailed Techno-economic Analysis. Report Submission. ﻿ Energy Audit team Bureau of Energy Efficiency empanelled energy auditing firms/Cos., (with auditing teams led by Bureau of Energy Efficiency accredited Energy Auditors) or Bureau of Energy Efficiency accredited individual Energy Auditors alone are to be engaged. ﻿ Energy Audit Final Report The report shall contain specific recommendations along with quantitative and qualitative details and outlay, projections of energy/ cost savings, payback period, etc., upon implementation. The report should contain, among other things, an executive summary, the period of conduct of the Energy Audit, and specific conclusions and measures/recommendations.","75 % of the cost of the audit is subject to a maximum of ₹ 1,00,000 per energy audit. ﻿ *The subsidy will be released to the MSME after completion of the Energy Audit Report that is duly certified by the energy auditor. *If the unit availed loan for the energy audit, the subsidy will be released to the bank to adjust in the loan account if the loan is in currency. * The overall ceiling on subsidy should not be applied for the original energy audit and subsequent energy audit taken together but should be applied separately for the original energy audit and the subsequent energy audit.","All existing manufacturing MSMEs in the state which are undertaking energy audits for the first time. MSMEs taking up subsequent energy audits after 3 years. Enterprises having more than one unit may also avail of this concession, separately for each unit. There should be a gap of a minimum of three years between the previous energy audit and the subsequent energy audit i.e. present energy audit. ﻿ Compotients Eligible for Subsidy The expenditure incurred towards professional charges of conducting an Energy Audit alone is eligible.","Step 1: Registration Visit the Official Website/Portal of the Micro, Small, and Medium Enterprises Department of the Government of Tamil Nadu. In the top ribbon, click "" Login / Registration "". In the registration form, fill in the mandatory details accurately, Name, Date of Birth, Aadhaar Number, Email ID, and Mobile Number. Create a new password. The password must contain a minimum of 8 characters, 1 Upper Case Letter, 1 Lower Case Letter, and 1 Numeric Field. Fill in the captcha code, and click ""Register"". ﻿ Step 2: Login Visit the Login Page and click ""Login"", and then fill in the credentials received on your registered Email ID and the registered Mobile Number. ﻿ Step 3: Form Filling After successfully logging in, hover over ""Schemes"" in the top ribbon, and then click on the concerned scheme from the dropdown. On the next page, hover over ""Apply Online"" in the top ribbon, and then click on ""New Application"" from the dropdown. Fill in all the mandatory fields of the Application Form . Carefully review all the information provided, acknowledge and agree to the terms and conditions, declaration, and privacy policy, and then click ""Proceed"". Note down the reference number appearing on the screen and then click ""Close"". ﻿ Step 4: Upload Documents Now, hover over ""Schemes"" in the top ribbon, and then click ""Upload Documents"" from the dropdown. On the next page, provide the Application ID and click ""Submit"". On the next page, upload all the mandatory documents in the specified format and size. After uploading the documents, click ""View"" to verify the documents uploaded for correctness. ﻿ Step 5: Submission Fill in all the checkboxes appearing at the bottom of the screen and then click ""Submit Application"". The message regarding the submission of the online application to GM/DIC / RJD will be received on your mobile phone. ﻿ (Optional) Step 6: Track Application Status You can check the status of your application here . The portal may provide updates via email or SMS regarding your application status.","Copy of Udyog Aadhaar Memorandum / Copy of Udyam Certificate. Certificate of Registration under Indian Partnership Act / LLP / Societies Registration Act / Certificate of Incorporation [Memorandum of Association & Article of Association] under Company Act. Proof for Connected Load i.e., EB Meter Card/Online Statement. If an Alternate Source of Energy [other than Electricity] is Used, Proof for the Usage. Documents for Engagement of Energy Auditor/Letter of Acceptance from Energy Auditor. If the Energy Auditor is Employed in a Firm/Co., or Partner or Director of a Firm/Co., Then Proof for the Same. Copy of Accreditation of Energy Auditor by Bureau of Energy Efficiency [BEE]. Self-Certified Statement on Expenditure Incurred for Energy Audit with Copy of the Bills/Vouchers and Receipt, etc. Copy of the Detailed Energy Audit Report. *The file type should be PDF (.pdf). The file size should be less than 200 kb.",State,Business & Entrepreneurship,,"Energy, Audit, Business, MSME, Enterprise"
Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,peaceifiear,"""Promotion of Energy Audit and Conservation of Energy (PEACE)"" is a scheme by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu. The scheme comprises four main components: Awareness Programme; Training Programme; Detailed Energy Audit; and Implementation of Energy Audit Recommendations. The ""Incentive for lmplementing Energy Audit Recommendations"" component of this scheme is introduced to incentivise MSMEs to implement the recommendations of the Energy Audit Report and to optimize energy consumption leading to energy saving and money savings in electricity bills.","50% of the cost of eligible components, subject to a maximum limit of ₹ 10,00,000/ -. Investments made after the energy audit alone will be eligible for the subsidy. *The overall ceiling on subsidy should not be applied for the original energy audit and subsequent energy audit taken together but should be applied separately for the original energy audit and the subsequent energy audit. ﻿ Time of Disbursal The subsidy will be released to the MSME after the implementation of the recommendations in the Energy Audit Report that is duly certified by the energy auditor. *If the unit has availed a loan for the implementation of the recommendations of the energy audit, the subsidy will be released to the bank to adjust in the loan account if the loan is in currency. ﻿","AIl manufacturing MSMEs in the state which have undertaken energy audits arid have achieved at least 10% energy savings in terms of the number of units of energy consumed per unit of product manufactured with reference to the last 12 months average. Enterprises having more than one unit may also avail of this concession, separately for each unit. There should be a gap of a minimum of three years between the previous energy audit and the subsequent energy audit i.e. present energy audit. *The percentage of savings in specific energy consumption (Kwh/Kcal per unit of product) shall be reckoned on twelve-month average energy consumption before the implementation of energy audit recommendations and a minimum three-month average after the implementation of the recommendation of the energy audit. ﻿ Eligible Components Cost of technology acquired for energy saving. Cost of replacement of equipment for energy conservation/ cost of machinery/accessories newly purchased & installed for the purpose. Cost of modification/ alteration made in the existing machinery/equipment/retrofit equipment for energy conservation.","Step 1: Registration Visit the Official Website/Portal of the Micro, Small, and Medium Enterprises Department of the Government of Tamil Nadu. In the top ribbon, click "" Login / Registration "". In the registration form, fill in the mandatory details accurately, Name, Date of Birth, Aadhaar Number, Email ID, and Mobile Number. Create a new password. The password must contain a minimum of 8 characters, 1 Upper Case Letter, 1 Lower Case Letter, and 1 Numeric Field. Fill in the captcha code, and click ""Register"". ﻿ Step 2: Login Visit the Login Page and click ""Login"", and then fill in the credentials received on your registered Email ID and the registered Mobile Number. ﻿ Step 3: Form Filling After successfully logging in, hover over ""Schemes"" in the top ribbon, and then click on the concerned scheme from the dropdown. On the next page, hover over ""Apply Online"" in the top ribbon, and then click on ""New Application"" from the dropdown. Fill in all the mandatory fields of the Application Form . Carefully review all the information provided, acknowledge and agree to the terms and conditions, declaration, and privacy policy, and then click ""Proceed"". Note down the reference number appearing on the screen and then click ""Close"". ﻿ Step 4: Upload Documents Now, hover over ""Schemes"" in the top ribbon, and then click ""Upload Documents"" from the dropdown. On the next page, provide the Application ID and click ""Submit"". On the next page, upload all the mandatory documents in the specified format and size. After uploading the documents, click ""View"" to verify the documents uploaded for correctness. ﻿ Step 5: Submission Fill in all the checkboxes appearing at the bottom of the screen and then click ""Submit Application"". The message regarding the submission of the online application to GM/DIC / RJD will be received on your mobile phone. ﻿ (Optional) Step 6: Track Application Status You can check the status of your application here . The portal may provide updates via email or SMS regarding your application status.","Copy of Udyog Aadhaar Memorandum / Copy of Udyam Certificate. Certificate of Registration under Indian Partnership Act / LLP / Societies Registration Act / Certificate of Incorporation [Memorandum of Association & Article of Association] under Company Act. Proof for Connected Load i.e., EB Meter Card/Online Statement. If Alternate Source of Energy [other than Electricity] Used, Proof for the Usage. Documents for Engagement of Energy Auditor/Letter of Acceptance from Energy Auditor. If the Energy Auditor is Employed in a Firm/Co., or Partner or Director of a Firm/Co., Then Proof for the Same. Copy of Accreditation of Energy Auditor by Bureau of Energy Efficiency [BEE]. Self-Certified Statement on Expenditure Incurred for Energy Audit with Copy of the Bills/Vouchers and Receipt, etc. Copy of the Detailed Energy Audit Report. *The file type should be PDF (.pdf). The file size should be less than 200 kb.",State,Business & Entrepreneurship,,"Energy, Audit, Business, MSME, Enterprise"
Promotion of Energy Audit and Conservation of Energy (PEACE): Training Programme,peacetp,"""Promotion of Energy Audit and Conservation of Energy (PEACE)"" is a scheme by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu. The scheme comprises four main components: Awareness Programme; Training Programme; Detailed Energy Audit; and Implementation of Energy Audit Recommendations. The ""Training Programme"" component of this scheme is introduced to enable MSMEs to establish the systems and processes necessary to improve energy performance, and energy efficiency, and help reduce energy consumption and costs. The training will be organized by GM, DICs/ RJD, Chennai in coordination with MSMEs Associations, Product Associations, Clusters, and other Stakeholders.","Programme Content The participants will be exposed to how an effective Energy Management System (EnMS) can help their organization improve energy efficiency, reduce costs, and lower greenhouse gas emissions. A tailor-made training program conforming to the requirements of MSMEs/ clusters must be designed. Programs could especially be fashioned around utilities and systems that a particular industry is dealing with on a day-to-day basis. For example, energy audit and conservation in electrical systems like maximum demand control, power factor control servo motors, transformers, pumps, fans, air-conditioning units, chillers, DG sets, lighting systems, air compressors, etc. and thermal systems like boilers, furnaces, driers, thermic fluid systems, heat exchangers, steam systems, etc. Programme Duration The course will be for 3 - 4 days, based on the need and requirement. Wherever possible training may be organized sector-wise / cluster-wise / product-wise. Training Faculty The training faculty may preferably be drawn from organizations such as the Petroleum Conservation Research Association (PCRA), India SME Tech Services Ltd. (SIDBI), and the National Productivity Council (NPC), etc., which Government Departments promote. However, the Bureau of Energy Efficiency (BEE) accredited Energy Auditors/ Managers with rich experience in energy audits, energy management & conservation, and BEE empanelled Energy audit firms/Cos., may also be engaged. Experience sharing by other enterprises must also be encouraged. Fund Allocation At least one training programme in each district at a cost not exceeding ₹ 75,000/- per training programme","The target group of participants for the training programme is Employees, Engineers, and executives of MSMEs, that are willing to undertake the energy audit. The ideal batch size will be 20 - 25. In the case of organizing cluster/ sector-focused programs, MSMEs from neighboring districts may also be included.","Step 1: Registration Visit the Official Website/Portal of the Micro, Small, and Medium Enterprises Department of the Government of Tamil Nadu. In the top ribbon, click "" Login / Registration "". In the registration form, fill in the mandatory details accurately, Name, Date of Birth, Aadhaar Number, Email ID, and Mobile Number. Create a new password. The password must contain a minimum of 8 characters, 1 Upper Case Letter, 1 Lower Case Letter, and 1 Numeric Field. Fill in the captcha code, and click ""Register"". ﻿ Step 2: Login Visit the Login Page and click ""Login"", and then fill in the credentials received on your registered Email ID and the registered Mobile Number. ﻿ Step 3: Form Filling After successfully logging in, hover over ""Schemes"" in the top ribbon, and then click on the concerned scheme from the dropdown. On the next page, hover over ""Apply Online"" in the top ribbon, and then click on ""New Application"" from the dropdown. Fill in all the mandatory fields of the Application Form . Carefully review all the information provided, acknowledge and agree to the terms and conditions, declaration, and privacy policy, and then click ""Proceed"". Note down the reference number appearing on the screen and then click ""Close"". ﻿ Step 4: Upload Documents Now, hover over ""Schemes"" in the top ribbon, and then click ""Upload Documents"" from the dropdown. On the next page, provide the Application ID and click ""Submit"". On the next page, upload all the mandatory documents in the specified format and size. After uploading the documents, click ""View"" to verify the documents uploaded for correctness. ﻿ Step 5: Submission Fill in all the checkboxes appearing at the bottom of the screen and then click ""Submit Application"". The message regarding the submission of the online application to GM/DIC / RJD will be received on your mobile phone. ﻿ (Optional) Step 6: Track Application Status You can check the status of your application here . The portal may provide updates via email or SMS regarding your application status.","Copy of Udyog Aadhaar Memorandum / Copy of Udyam Certificate. Certificate of Registration under Indian Partnership Act / LLP / Societies Registration Act / Certificate of Incorporation [Memorandum of Association & Article of Association] under Company Act. Proof for Connected Load i.e., EB Meter Card/Online Statement. If an Alternate Source of Energy [other than Electricity] is Used, Proof for the Usage. Documents for Engagement of Energy Auditor/Letter of Acceptance from Energy Auditor. If the Energy Auditor is Employed in a Firm/Co., or Partner or Director of a Firm/Co., Then Proof for the Same. Copy of Accreditation of Energy Auditor by Bureau of Energy Efficiency [BEE]. Self-Certified Statement on Expenditure Incurred for Energy Audit with Copy of the Bills/Vouchers and Receipt, etc. Copy of the Detailed Energy Audit Report. *The file type should be PDF (.pdf). The file size should be less than 200 kb.",State,Business & Entrepreneurship,,"Training, Business, Energy, Audit, MSME"
Quality Paddy Seed Distribution,qpsd,"The scheme “Quality Paddy Seed Distribution”, introduced on 22nd August 2011 by the Agriculture-Farmers Welfare Department, Tamil Nadu, offers a subsidy of ₹5/- per kg on certified paddy seeds. Farmers can avail this benefit when purchasing seeds from Agricultural Extension Centers. This initiative helps reduce the cost burden on farmers, encouraging them to use high-quality paddy seeds for improved crop yields.",Financial Assistance: ₹5/- per kg subsidy on certified paddy seeds. ﻿,The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu. The beneficiary must purchase certified paddy seeds from Agricultural Extension Centers.,"Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture.","Proof of identity (Aadhar card, Voter ID). Land ownership documents or lease agreement. Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Paddy, Seed Production"
Readers Allowance to Visually Impaired Persons,ratvip,"'Readers Allowance to Visually Impaired Persons' scheme was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. The scheme aims to provide readers allowance to visually impaired students, specific allowance rates based on the education level ranging from secondary school to postgraduate and professional courses.","Reader's allowance is being paid at the following rate: 9th  To 10th Standard - ₹3,000/- (per annum). Degree Courses - ₹5,000/- (per annum). Post Graduate and Professional Courses - ₹6,000/- (per annum). ﻿",The applicant should be a visually impaired student. The applicant enrolled in 9th standard or above in a recognized/bonafide institution.,"Step 1: The interested applicant should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Reader Certificate (issued from the head of the institution). National Identity Card of the Differently Abled. Statement of Marks (previous qualifying examination).,State,"Education & Learning, Social welfare & Empowerment",,"Student, Financial Assistance, Differently-abled Person, Readers Allowance, Visually Impaired"
Reimbursement of Stamp Duty and Registration Charges,rsdarc,"The scheme ""Reimbursement of Stamp Duty and Registration Charges"" by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu, is introduced with the objective of reducing the stamp duty and registration charges incurred by MSEs investing in backward blocks, i.e. the charges paid to the Registration department on the purchase of land meant for industrial use.",50% reimbursement of stamp duty and Registration charges paid to the Registration department on the purchase of land meant for industrial use.,"The applicant should be a manufacturing enterprise (micro or small scale), set up in the declared backward blocks of the state of Tamil Nadu. This incentive is admissible to eligible enterprises on the land area up to five times the plinth area of the factory building constructed. However, in respect of enterprises where the open land requirements would be large, due to the peculiar nature of the industry, the sanctioning Authority may consider allowing land in excess of five times the plinth area on case to case basis. ﻿ Know Your Eligibility for this Scheme here ﻿","Step 1: Registration Visit the Official Website/Portal of the Micro, Small, and Medium Enterprises Department of the Government of Tamil Nadu. In the top ribbon, click "" Login / Registration "". In the registration form, fill in the mandatory details accurately, Name, Date of Birth, Aadhaar Number, Email ID, and Mobile Number. Create a new password. The password must contain a minimum of 8 characters, 1 Upper Case Letter, 1 Lower Case Letter, and 1 Numeric Field. Fill in the captcha code, and click ""Register"". ﻿ Step 2: Login Visit the Login Page and click ""Login"", and then fill in the credentials received on your registered Email ID and the registered Mobile Number. ﻿ Step 3: Form Filling After successfully logging in, hover over ""Schemes"" in the top ribbon, and then click on the concerned scheme from the dropdown. On the next page, hover over ""Apply Online"" in the top ribbon, and then click on ""New Application"" from the dropdown. Fill in all the mandatory fields of the Application Form . Carefully review all the information provided, acknowledge and agree to the terms and conditions, declaration, and privacy policy, and then click ""Proceed"". Note down the reference number appearing on the screen and then click ""Close"". ﻿ Step 4: Upload Documents Now, hover over ""Schemes"" in the top ribbon, and then click ""Upload Documents"" from the dropdown. On the next page, provide the Application ID and click ""Submit"". On the next page, upload all the mandatory documents in the specified format and size. After uploading the documents, click ""View"" to verify the documents uploaded for correctness. ﻿ Step 5: Submission Fill in all the checkboxes appearing at the bottom of the screen and then click ""Submit Application"". The message regarding the submission of the online application to GM/DIC / RJD will be received on your mobile phone. ﻿ (Optional) Step 6: Track Application Status You can check the status of your application here . The portal may provide updates via email or SMS regarding your application status. ﻿ Time Limit for Filing Application The applicant enterprises should apply for this incentive within 6 months from the date of commencement of commercial production.",Copy of UDYAM Registration Certificate. Copy of Registered Land Sale deed documents with receipt from Registrar regarding the payment of Stamp Duty/Registration Charges. Copy of plan Approvals from the local body / Industrial Estate Authorities along with site plan. *The file type should be PDF (.pdf). The file size should be less than 200 kb.,State,Business & Entrepreneurship,,"Reimbursement, MSME, Enterprise, Business"
